Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Fermatean fuzzy sets and its extensions: a systematic literature review,Artificial Intelligence Review,,57,6,10.1007/s10462-024-10761-y,Gülçin BüyüközkanDeniz UztürkÖykü Ilıcak,2024,http://link.springer.com/article/10.1007/s10462-024-10761-y,Article
Improving supply chain transparency: from the perspective of suppliers,Annals of Operations Research,,,,10.1007/s10479-024-06009-1,LiGuo YangLin Lu,2024,http://link.springer.com/article/10.1007/s10479-024-06009-1,Article
"Boxless bus bar system for distribution boxes: a novel design for efficiency, security, and reliability",International Journal on Interactive Design and Manufacturing (IJIDeM),,,,10.1007/s12008-024-01847-6,Ishant Jain,2024,http://link.springer.com/article/10.1007/s12008-024-01847-6,Article
"Identifying and Prioritizing Effective Factors for Increasing Satisfaction of Mass Building Projects Using Integrated FAHP, FTOPSIS, and QFD Methods",Arabian Journal for Science and Engineering,,49,5,10.1007/s13369-023-08236-3,Nasser SafaieMohammad Hassan ZareieSeyed Amir NasriAmirhossein Sarabi,2024,http://link.springer.com/article/10.1007/s13369-023-08236-3,Article
A reasonable method for industrial robot selection combined with several multi-attribute decision making methods,International Journal on Interactive Design and Manufacturing (IJIDeM),,18,4,10.1007/s12008-023-01533-z,Myong-Song ChoeWon-Chol Yang,2024,http://link.springer.com/article/10.1007/s12008-023-01533-z,Article
Review of sensor-driven assistive device technologies for enhancing navigation for the visually impaired,Multimedia Tools and Applications,,83,17,10.1007/s11042-023-17552-7,Iftekar PatelMakarand KulkarniNinad Mehendale,2024,http://link.springer.com/article/10.1007/s11042-023-17552-7,Article
"Achieving eco-innovative smart glass design with the integration of opinion mining, QFD and TRIZ",Scientific Reports,,14,1,10.1038/s41598-024-58867-1,C. K. M. LeeY. P. TsangW. W. ChongY. S. AuJ. Y. Liang,2024,http://link.springer.com/article/10.1038/s41598-024-58867-1,Article
Multi-criteria group decision-making for evaluating efficient and smart mobility sharing systems using Pythagorean fuzzy rough numbers,Granular Computing,,9,2,10.1007/s41066-024-00466-6,Muhammad AkramSadaf ZahidAhmad N. Al-Kenani,2024,http://link.springer.com/article/10.1007/s41066-024-00466-6,Article
Measuring Supply Chain Performance Using the SCOR Model,Operations Research Forum,,5,2,10.1007/s43069-024-00314-y,Thi Thuy Hanh Nguyen,2024,http://link.springer.com/article/10.1007/s43069-024-00314-y,Article
A three-way decision method on multi-scale single-valued neutrosophic decision systems,Artificial Intelligence Review,,57,4,10.1007/s10462-024-10733-2,Xuan YangXianzhong ZhouBing HuangHuaxiong LiTianxing Wang,2024,http://link.springer.com/article/10.1007/s10462-024-10733-2,Article
