Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
The Bootstrap Methodology in Statistics of Extremes—Choice of the Optimal Sample Fraction,Extremes,,4,4,10.1023/A:1016592028871,M. Ivette GomesOrlando Oliveira,2001,http://link.springer.com/article/10.1023/A%3A1016592028871,Article
Maximizing customer satisfaction by optimal specification of engineering characteristics,IIE Transactions,,32,1,10.1023/A:1007647229008,Ronald G. AskinDonald W. Dawson,2000,http://link.springer.com/article/10.1023/A%3A1007647229008,Article
A new model and solution method for product line design with pricing,Journal of the Operational Research Society,,51,1,10.1057/palgrave.jors.2600850,L S ThakurS K NairK-W WenP Tarasewich,2000,http://link.springer.com/article/10.1057/palgrave.jors.2600850,Article
New Approaches to Business Process Redesign: A Case Study of Collaborative Group Technology and Service Mapping,Group Decision and Negotiation,,9,2,10.1023/A:1008750520257,Gail CorbittLauren WrightMark Christopolus,2000,http://link.springer.com/article/10.1023/A%3A1008750520257,Article
Book reviews,IIE Transactions,,32,6,10.1023/A:1017204621306,,2000,http://link.springer.com/article/10.1023/A%3A1017204621306,Article
A TQM-Based Approach to QoS Management,Journal of Network and Systems Management,,8,2,10.1023/A:1009447108035,Yannis I. ManolessosGeorge N. PrezerakosApostolos MelionesMichael E. Theologou,2000,http://link.springer.com/article/10.1023/A%3A1009447108035,Article
Reviews of books,Journal of the Academy of Marketing Science,,28,3,10.1177/0092070300283010,GVictoria L. CrittendenKenneth E. ClowDeborah UtterJohn HoganPhilip A. DoverTim ChristiansenGarold LantzKathleen SeidersPenny M. SimpsonWilliam F. CrittendenLarry C. GiuniperoJoel Herche,2000,http://link.springer.com/article/10.1177/0092070300283010,Article
Minimum cost tolerancing under uncertain cost estimates,IIE Transactions,,32,6,10.1023/A:1007667818580,Richard J. GerthTilo Pfeifer,2000,http://link.springer.com/article/10.1023/A%3A1007667818580,Article
A metric for agility measurement in product development,IIE Transactions,,32,7,10.1023/A:1007611116726,David B. SiegerAdedeji B. BadiruMilan Milatovic,2000,http://link.springer.com/article/10.1023/A%3A1007611116726,Article
Failure Mode and Effect Analysis (FMEA) Over the WWW,The International Journal of Advanced Manufacturing Technology,,16,8,10.1007/s001700070051,G. Q. HuangJ. ShiK. L. Mak,2000,http://link.springer.com/article/10.1007/s001700070051,Article
"Penoscrotal inversion, hypospadias, imperforate anus, facial anomalies, and developmental delay: definition of a new clinical syndrome",Pediatric Surgery International,,16,05-jun,10.1007/s003830000379,Ursula KuhnleOliver BartschWalter WernerTobias Schuster,2000,http://link.springer.com/article/10.1007/s003830000379,Article
Longitudinal Evaluation of Perimenopausal Femoral Bone Loss: Effects of a Low-Dose Oral Contraceptive Preparation on Bone Mineral Density and Metabolism,Osteoporosis International,,11,6,10.1007/s001980070099,M. GambaccianiM. CiaponiB. CappagliC. BenussiA. R. Genazzani,2000,http://link.springer.com/article/10.1007/s001980070099,Article
Complexity reduction of a design problem in QFD using decomposition,Journal of Intelligent Manufacturing,,11,4,10.1023/A:1008970701689,Jong-Seok ShinKwang-Jae Kim,2000,http://link.springer.com/article/10.1023/A%3A1008970701689,Article
Plasma levels of endothelin-1 in patients with the hepatorenal syndrome after successful liver transplantation,Transplant International,,13,5,10.1007/s001470050714,S. Bachmann-BrandtI. BittnerP. NeuhausU. FreiR. Schindler,2000,http://link.springer.com/article/10.1007/s001470050714,Article
Stakeholder involvement in the new service design process,Journal of Financial Services Marketing,,5,1,10.1057/palgrave.fsm.4770003,Anne M SmithMoira Fischbacher,2000,http://link.springer.com/article/10.1057/palgrave.fsm.4770003,Article
Phospholipid compositional changes of five pseudomonad archetypes grown with and without toluene,Applied Microbiology and Biotechnology,,54,3,10.1007/s002530000389,J. FangM. J. BarcelonaP. J. J. Alvarez,2000,http://link.springer.com/article/10.1007/s002530000389,Article
Testing the Gumbel hypothesis by Galton's ratio,Extremes,,3,3,10.1023/A:1011411212045,Johan SegersJef Teugels,2000,http://link.springer.com/article/10.1023/A%3A1011411212045,Article
High Temperature Stress Resistance of Escherichia coli Induced by a Tobacco Class I Low Molecular Weight Heat-Shock Protein,Molecules and Cells,,10,5,10.1007/s10059-000-0519-1,Myung Kuk JoeSoo Min ParkYong Sun LeeDeog Su HwangChoo Bong Hong,2000,http://link.springer.com/article/10.1007/s10059-000-0519-1,Article
Mixing incompatibly mapped location-relevant trials with location-irrelevant trials: effects of stimulus mode on the reverse Simon effect,Psychological Research,,64,1,10.1007/s004260000041,Robert W. ProctorJulie Gerred MarbleKim-Phuong L. Vu,2000,http://link.springer.com/article/10.1007/s004260000041,Article
"Transition from calc-alkaline to potassium-rich magmatism in subduction environments: geochemical and Sr, Nd, Pb isotopic constraints from the island of Vulcano (Aeolian arc)",Contributions to Mineralogy and Petrology,,139,6,10.1007/s004100000172,Gianfilippo De AstisAngelo PeccerilloPamela D. KemptonLuigi La VolpeTsai W. Wu,2000,http://link.springer.com/article/10.1007/s004100000172,Article
A Method for Architecting Product Platforms,Research in Engineering Design,,12,2,10.1007/s001630050024,Javier P. Gonzalez-ZugastiKevin N. OttoJohn D. Baker,2000,http://link.springer.com/article/10.1007/s001630050024,Article
Stochastic resonance and signal detection in an energy detector – implications for biological receptor systems,Biological Cybernetics,,83,5,10.1007/s004220000176,Jakob Tougaard,2000,http://link.springer.com/article/10.1007/s004220000176,Article
The concept of functioning free skeletal muscle transfer in combination with tissue engineering for bladder substitution,World Journal of Urology,,18,5,10.1007/s003450000151,M. NinkovicH. StrasserA. H. SchwabeggerM. NinkovicG. BartschA. Stenzl,2000,http://link.springer.com/article/10.1007/s003450000151,Article
Improving the Rationale Capture Capability of QFD,Engineering with Computers,,16,03-abr,10.1007/s003660070007,Y. Reich,2000,http://link.springer.com/article/10.1007/s003660070007,Article
Performing Changes in Product Development: A Framework with Keys for Industrial Application,Research in Engineering Design,,12,3,10.1007/s001630050032,Cecilia BeskowSofia Ritzén,2000,http://link.springer.com/article/10.1007/s001630050032,Article
Molecular cloning and characterization of a tomato cDNA encoding a systemically wound-inducible bZIP DNA-binding protein,Planta,,212,1,10.1007/s004250000362,Bratislav StankovićAlain VianChantal Henry-VianEric Davies,2000,http://link.springer.com/article/10.1007/s004250000362,Article
Dose-dependent Selective Priming of Th1 and Th2 Immune Responses Is Achieved Only by an Antigen with an Affinity over a Certain Threshold Level,Molecules and Cells,,10,6,10.1007/s10059-000-0695-z,Tai Hyoung ChoSun-Hwa ChangYong-Suk Jang,2000,http://link.springer.com/article/10.1007/s10059-000-0695-z,Article
Transglutaminase-dependent Modulation of Transcription Factor Sp1 Activity,Molecules and Cells,,10,6,10.1007/s10059-000-0612-5,Jeong A HanSang Chul Park,2000,http://link.springer.com/article/10.1007/s10059-000-0612-5,Article
The First Successful Prenatal Diagnosis on a Korean Family with Citrullinemia,Molecules and Cells,,10,6,10.1007/s10059-000-0692-2,Kyeong-Man HongMoon-Kee PaikOok-Joon YooSi-Houn Hahn,2000,http://link.springer.com/article/10.1007/s10059-000-0692-2,Article
Book review,IIE Transactions,,32,12,10.1023/A:1017385718282,,2000,http://link.springer.com/article/10.1023/A%3A1017385718282,Article
The Na+-Ca2+ Exchanger Is Essential for Embryonic Heart Development in Mice,Molecules and Cells,,10,6,10.1007/s10059-000-0712-2,Chung-Hyun ChoSung Sook KimMyung-jin JeongChin O. LeeHee-Sup Shin,2000,http://link.springer.com/article/10.1007/s10059-000-0712-2,Article
A New Multisection Technique in Interval Methods for Global Optimization,Computing,,65,3,10.1007/s006070070010,L. G. CasadoI. GarcíaT. Csendes,2000,http://link.springer.com/article/10.1007/s006070070010,Article
A Note on Extremes of Concomitants of Order Statistics,Extremes,,3,4,10.1023/A:1012213910318,Helena Ferreira,2000,http://link.springer.com/article/10.1023/A%3A1012213910318,Article
"Identification of settling and early postlarval stages of mussels (Mytilus spp.) from the Pacific coast of North America, using prodissoconch morphology and genomic DNA",Marine Biology,,137,05-jun,10.1007/s002270000442,A. L. MartelL. M. AuffreyC. D. RoblesB. M. Honda,2000,http://link.springer.com/article/10.1007/s002270000442,Article
The effect of family intervention on chronic schizophrenics under individual psychosocial treatment: a 3-year study,Social Psychiatry and Psychiatric Epidemiology,,35,11,10.1007/s001270050269,V. TomarasV. MavreasM. EconomouE. IoannovichV. KarydiC. Stefanis,2000,http://link.springer.com/article/10.1007/s001270050269,Article
Characterizations of bounded mean oscillation on the polydisk in terms of Hankel operators and Carleson measures,Journal d’Analyse Mathématique,,81,1,10.1007/BF02788991,Sarah H. FergusonCora Sadosky,2000,http://link.springer.com/article/10.1007/BF02788991,Article
"Cardiovascular responses to cold-water immersions of the forearm and face, and their relationship to apnoea",European Journal of Applied Physiology,,83,6,10.1007/s004210000317,Johan AnderssonErika SchagatayAnna GislénBoris Holm,2000,http://link.springer.com/article/10.1007/s004210000317,Article
Forming teams: an analytical approach,IIE Transactions,,31,1,10.1023/A:1007580823003,ARMEN ZzkarianANDREW Kusiak,1999,http://link.springer.com/article/10.1023/A%3A1007580823003,Article
Estimating the uptake of traffic-derived NO2 from 15N abundance in Norway spruce needles,Oecologia,,118,2,10.1007/s004420050710,M. AmmannR. SiegwolfF. PichlmayerM. SuterM. SaurerC. Brunold,1999,http://link.springer.com/article/10.1007/s004420050710,Article
Opposing effects of elevated CO2 and N deposition on Lymantria monacha larvae feeding on spruce trees,Oecologia,,118,2,10.1007/s004420050720,Stephan HättenschwilerChrista Schafellner,1999,http://link.springer.com/article/10.1007/s004420050720,Article
Sequential quality control in batch manufacturing,Annals of Operations Research,,87,0,10.1023/A:1018989120793,D.D. YaoS. Zheng,1999,http://link.springer.com/article/10.1023/A%3A1018989120793,Article
An integrated group decision-making approach to quality function deployment,IIE Transactions,,31,6,10.1023/A:1007654407406,ENG SHWE SEIN AYE HoYOUNG-JOU LaiSHING I Chang,1999,http://link.springer.com/article/10.1023/A%3A1007654407406,Article
Seven-Layer Model of the Role of the Facilitator in Requirements Engineering,Requirements Engineering,,4,1,10.1007/s007660050009,Linda A. Macaulay,1999,http://link.springer.com/article/10.1007/s007660050009,Article
The RAPPID Project: Symbiosis between Industrial Requirements and MAS Research,Autonomous Agents and Multi-Agent Systems,,2,2,10.1023/A:1010039424126,H. V. D. ParunakJ. SauterM. FleischerA. Ward,1999,http://link.springer.com/article/10.1023/A%3A1010039424126,Article
Book Notices,Journal of Optimization Theory and Applications,,102,1,10.1023/A:1021806931819,,1999,http://link.springer.com/article/10.1023/A%3A1021806931819,Article
A Taxonomy for Design Requirements from Corporate Customers,Research in Engineering Design,,11,2,10.1007/PL00003882,John K. GershensonLarry A. Stauffer,1999,http://link.springer.com/article/10.1007/PL00003882,Article
Building Agility for Developing Agile Design Information Systems,Research in Engineering Design,,11,2,10.1007/PL00003884,Yoram ReichSuresh KondaEswaran SubrahmanianDouglas CunninghamAllen DutoitRobert PatrickMark ThomasArthur W. Westerberg,1999,http://link.springer.com/article/10.1007/PL00003884,Article
Artificial intelligence and expert systems applications in new product development—a survey,Journal of Intelligent Manufacturing,,10,03-abr,10.1023/A:1008943723141,S. Subba RaoAbraham NahmZhengzhong ShiXiaodong DengAhmad Syamil,1999,http://link.springer.com/article/10.1023/A%3A1008943723141,Article
Web-based morphological charts for concept design in collaborative product development,Journal of Intelligent Manufacturing,,10,03-abr,10.1023/A:1008999908120,G. Q. HuangK. L. Mak,1999,http://link.springer.com/article/10.1023/A%3A1008999908120,Article
Towards Profitable Persistent Manufacturing. Human Factors in Overcoming Disturbances in Production Systems,The International Journal of Advanced Manufacturing Technology,,15,10,10.1007/s001700050128,Jerzy MiklerHåkan HådebyAnn KjellbergGunnar Sohlenius,1999,http://link.springer.com/article/10.1007/s001700050128,Article
Guest editorial,Journal of Intelligent Manufacturing,,10,03-abr,10.1023/A:1008989006303,A. Gunasekaran,1999,http://link.springer.com/article/10.1023/A%3A1008989006303,Article
The Wearable Motherboard™: The first generation of adaptive and responsive textile structures (ARTS) for medical applications,Virtual Reality,,4,3,10.1007/BF01418152,C. GopalsamyS. ParkR. RajamanickamS. Jayaraman,1999,http://link.springer.com/article/10.1007/BF01418152,Article
An Ontology for Quality Management — Enabling Quality Problem Identification and Tracing,BT Technology Journal,,17,4,10.1023/A:1009611528866,H M KimM S FoxM Grüninger,1999,http://link.springer.com/article/10.1023/A%3A1009611528866,Article
A Mathematical Framework for the Key Characteristic Process,Research in Engineering Design,,11,3,10.1007/s001630050011,Anna C. Thornton,1999,http://link.springer.com/article/10.1007/s001630050011,Article
Environmental design methods in materials and structural engineering—Progress Report of RILEM TC 172-EDM/CIB TG 22,Materials and Structures,,32,10,10.1007/BF02905066,,1999,http://link.springer.com/article/10.1007/BF02905066,Article
Long-term emission scenarios for China,Environmental Economics and Policy Studies,,2,4,10.1007/BF03353915,Kejun JiangToshihiko MasuiTsuneyuki MoritaYuzuru Matsuoka,1999,http://link.springer.com/article/10.1007/BF03353915,Article
Arrow's Theorem and Engineering Design Decision Making,Research in Engineering Design,,11,4,10.1007/s001630050016,Michael J. ScottErik K. Antonsson,1999,http://link.springer.com/article/10.1007/s001630050016,Article
Book reviews,IIE Transactions,,31,12,10.1023/A:1017231514970,,1999,http://link.springer.com/article/10.1023/A%3A1017231514970,Article
L-shaped decomposition of two-stage stochastic programs with integer recourse,Mathematical Programming,,83,01-mar,10.1007/BF02680570,Claus C. CarøeJørgen Tind,1998,http://link.springer.com/article/10.1007/BF02680570,Article
Fuzzy set theory applications in production management research: a literature survey,Journal of Intelligent Manufacturing,,9,1,10.1023/A:1008847308326,Alfred L. GuiffridaRakesh Nagi,1998,http://link.springer.com/article/10.1023/A%3A1008847308326,Article
"Reviews of books, software, and videos",Journal of the Academy of Marketing Science,,26,2,10.1177/0092070398262006,Victoria L. CrittendenGarland KeeslingM. Joseph SirgySamuel B. GravesDeborah UtterLuiz MoutinhoJohn HadjimarcouMichael S. MinorJames ReardonChip E. Miller,1998,http://link.springer.com/article/10.1177/0092070398262006,Article
Business Optimisation: Using mathematical programming,Journal of the Operational Research Society,,49,5,10.1057/palgrave.jors.2600013,R Eglese,1998,http://link.springer.com/article/10.1057/palgrave.jors.2600013,Article
Essays in Decision Making: A Volume in Honour of Stanley Zionts,Journal of the Operational Research Society,,49,5,10.1057/palgrave.jors.2600015,S Kafandaris,1998,http://link.springer.com/article/10.1057/palgrave.jors.2600015,Article
Advances in Linear and Integer Programming,Journal of the Operational Research Society,,49,5,10.1057/palgrave.jors.2600530,R Simons,1998,http://link.springer.com/article/10.1057/palgrave.jors.2600530,Article
Constructing Systems and Information: A Process View,Journal of the Operational Research Society,,49,5,10.1057/palgrave.jors.2600014,J Mingers,1998,http://link.springer.com/article/10.1057/palgrave.jors.2600014,Article
Regional Process Modeling for Design for Environment,Journal of Systems Integration,,8,2,10.1023/A:1008282723146,Ali H. DogruDonald H. Sebastian,1998,http://link.springer.com/article/10.1023/A%3A1008282723146,Article
Meeting with the SME to design multimedia exploration systems,Educational Technology Research and Development,,46,2,10.1007/BF02299790,Martin Tessmer,1998,http://link.springer.com/article/10.1007/BF02299790,Article
Intelligent management systems in operations: a review,Journal of the Operational Research Society,,49,7,10.1057/palgrave.jors.2600519,N C ProudloveS VaderáK A H Kobbacy,1998,http://link.springer.com/article/10.1057/palgrave.jors.2600519,Article
Concurrent engineering: a competitive strategy for process industries,Journal of the Operational Research Society,,49,7,10.1057/palgrave.jors.2600549,A Gunasekaran,1998,http://link.springer.com/article/10.1057/palgrave.jors.2600549,Article
Influence Allocation Methods in Group Decision Support Systems,Group Decision and Negotiation,,7,4,10.1023/A:1008638222056,Pierre A. BalthazardWilliam R. FerrellDorothy L. Aguilar,1998,http://link.springer.com/article/10.1023/A%3A1008638222056,Article
Typology of database quality factors,Software Quality Journal,,7,03-abr,10.1023/A:1008923120973,John A. Hoxmeier,1998,http://link.springer.com/article/10.1023/A%3A1008923120973,Article
ORGANIZATIONAL QUALITY: An Examination of the Malcolm Baldrige National Quality Framework,Research in Higher Education,,39,5,10.1023/A:1018745505108,Bradley A. WinnKim S. Cameron,1998,http://link.springer.com/article/10.1023/A%3A1018745505108,Article
Soil moisture dynamics of calcareous grassland under elevated CO2,Oecologia,,117,01-feb,10.1007/s004420050649,Pascal A. NiklausD. SpinnlerC. Körner,1998,http://link.springer.com/article/10.1007/s004420050649,Article
Fifty years of subnuclear physics: from past to future and the ELN project,La Rivista del Nuovo Cimento (1978-1999),,21,12,10.1007/BF02872058,A. Zichichi,1998,http://link.springer.com/article/10.1007/BF02872058,Article
Induced R-representations of p-adic reductive groups,Selecta Mathematica,,4,4,10.1007/s000290050040,M.-F. Vignéras,1998,http://link.springer.com/article/10.1007/s000290050040,Article
Dealing with nonfunctional requirements in large software systems,Annals of Software Engineering,,3,1,10.1023/A:1018933820619,Christof Ebert,1997,http://link.springer.com/article/10.1023/A%3A1018933820619,Article
"Viewpoints: principles, problems and a practical approach to requirements engineering",Annals of Software Engineering,,3,1,10.1023/A:1018946223345,Ian SommervillePete Sawyer,1997,http://link.springer.com/article/10.1023/A%3A1018946223345,Article
Customer value: The next source for competitive advantage,Journal of the Academy of Marketing Science,,25,2,10.1007/BF02894350,Robert B. Woodruff,1997,http://link.springer.com/article/10.1007/BF02894350,Article
On the existence of undistorted progressive waves (UPWs) of arbitrary speeds 0≤ϑ<∞ in nature,Foundations of Physics,,27,3,10.1007/BF02550165,Waldyr A. Rodrigues Jr.Jian-Yu Lu,1997,http://link.springer.com/article/10.1007/BF02550165,Article
Witt vectors of non-commutative rings and topological cyclic homology,Acta Mathematica,,178,1,10.1007/BF02392710,Lars Hesselholt,1997,http://link.springer.com/article/10.1007/BF02392710,Article
Separability in Quantum Mechanics,Molecular Engineering,,7,01-feb,10.1023/A:1008266011351,Roy McWeeny,1997,http://link.springer.com/article/10.1023/A%3A1008266011351,Article
Integrated product development,Sadhana,,22,2,10.1007/BF02744488,Tay Eng Hock,1997,http://link.springer.com/article/10.1007/BF02744488,Article
Recurrence of the integral of an odd conditionally periodic function,Mathematical Notes,,61,4,10.1007/BF02354991,S. V. Konyagin,1997,http://link.springer.com/article/10.1007/BF02354991,Article
Reliability assessment for development of microtechnologies,Microsystem Technologies,,3,4,10.1007/s005420050072,J. W. EvansJ. Y. Evans,1997,http://link.springer.com/article/10.1007/s005420050072,Article
A new generation of decision support systems for advanced manufacturing enterprises,Journal of Intelligent Manufacturing,,8,5,10.1023/A:1018597930191,SHOUJU RENXIAO DONG ZHANGXI PING ZHANG,1997,http://link.springer.com/article/10.1023/A%3A1018597930191,Article
Market Driven Manufacturing,Journal of Market-Focused Management,,2,1,10.1023/A:1009737516172,Warren H. HausmanDavid B. Montgomery,1997,http://link.springer.com/article/10.1023/A%3A1009737516172,Article
The business of elections,Quality and Quantity,,31,4,10.1023/A:1004206632394,Baruch Mevorach,1997,http://link.springer.com/article/10.1023/A%3A1004206632394,Article
Managing software requirements using quality function deployment,Software Quality Journal,,6,4,10.1023/A:1018580522999,Joachim Karlsson,1997,http://link.springer.com/article/10.1023/A%3A1018580522999,Article
What to do next: Using problem status to determine the course of action,Research in Engineering Design,,9,4,10.1007/BF01589683,David G. UllmanDerald HerlingBruce D' Ambrosio,1997,http://link.springer.com/article/10.1007/BF01589683,Article
Practical Guide to Experimental Design,IIE Transactions,,29,12,10.1023/A:1018572907959,David W. Coit,1997,http://link.springer.com/article/10.1023/A%3A1018572907959,Article
Biomass allocation and canopy development in spruce model ecosystems under elevated CO2 and increased N deposition,Oecologia,,113,1,10.1007/s004420050358,Stephan HättenschwilerChristian Körner,1997,http://link.springer.com/article/10.1007/s004420050358,Article
Growth responses of an alpine grassland to elevated CO2,Oecologia,,105,1,10.1007/BF00328790,Bernd SchäppiChristian Körner,1996,http://link.springer.com/article/10.1007/BF00328790,Article
Fejér means for multivariate fourier series,Mathematische Zeitschrift,,221,1,10.1007/BF02622126,Hubert BerensYuan Xu,1996,http://link.springer.com/article/10.1007/BF02622126,Article
"Phytoplankton biomass, P-I relationships and primary production in the Weddell Sea, Antarctica, during the austral autumn",Polar Biology,,16,1,10.1007/BF01876828,K. M. DowerM. I. LucasR. PhillipsG. DieckmannD. H. Robinson,1996,http://link.springer.com/article/10.1007/BF01876828,Article
Drought resistance and water use efficiency of conifer seedlings treated with paclobutrazol,New Forests,,11,1,10.1007/BF00034893,R. van den Driessche,1996,http://link.springer.com/article/10.1007/BF00034893,Article
Modules lattice isomorphic to linearly compact modules,Mathematical Notes,,59,2,10.1007/BF02310950,G. M. Brodskii,1996,http://link.springer.com/article/10.1007/BF02310950,Article
Information architectural design in business process reengineering,Journal of Information Technology,,11,1,10.1080/026839696345405,William J KettingerJames T C TengSubashish Guha,1996,http://link.springer.com/article/10.1080/026839696345405,Article
Steady-state response of a Cosserat medium with a spherical inclusion,Acta Mechanica,,116,01-abr,10.1007/BF01171423,Z. -Q. ChengL. -H. He,1996,http://link.springer.com/article/10.1007/BF01171423,Article
Effects of elevated CO2 and increased nitrogen deposition on photosynthesis and growth of understory plants in spruce model ecosystems,Oecologia,,106,2,10.1007/BF00328596,Stephan HättenschwilerChristian Körner,1996,http://link.springer.com/article/10.1007/BF00328596,Article
Growth dynamics and population development in an alpine grassland under elevated CO2,Oecologia,,106,1,10.1007/BF00334411,Bernd Schäppi,1996,http://link.springer.com/article/10.1007/BF00334411,Article
Functional tolerancing: A design for manufacturing methodology,Research in Engineering Design,,8,2,10.1007/BF01607864,R. S. SrinivasanProf. K. L. WoodD. A. McAdams,1996,http://link.springer.com/article/10.1007/BF01607864,Article
Probing the native strain in α1-antitrypsin,Nature Structural Biology,,3,6,10.1038/nsb0696-497,Kee Nyung LeeSang Dai ParkMyeong-Hee Yu,1996,http://link.springer.com/article/10.1038/nsb0696-497,Article
The virtual design team: A computational model of project organizations,Computational & Mathematical Organization Theory,,2,3,10.1007/BF00127273,Yan JinRaymond E. Levitt,1996,http://link.springer.com/article/10.1007/BF00127273,Article
The anomalous magnetic moment of the muon and related topics,Rendiconti Lincei,,7,3,10.1007/BF03001803,Emilio Picasso,1996,http://link.springer.com/article/10.1007/BF03001803,Article
Features of multiregional and intertemporal AGE modelling with GEMPACK,Computational Economics,,9,4,10.1007/BF00119479,W. Jill HarrisonK. R. PearsonAlan A. Powell,1996,http://link.springer.com/article/10.1007/BF00119479,Article
Utilizing deontic operators in information systems specification,Requirements Engineering,,1,4,10.1007/BF01587101,John KrogstieGuttorm Sindre,1996,http://link.springer.com/article/10.1007/BF01587101,Article
"Abstracts of the Biomedical Engineering Society 1995 Annual Fall Meeting, October 6–8, 1995",Annals of Biomedical Engineering,,23,1,10.1007/BF02368677,,1995,http://link.springer.com/article/10.1007/BF02368677,Article
Chiral calculations of the K→2π and K→3π weak decays,Il Nuovo Cimento A (1965-1970),,108,3,10.1007/BF02787056,S. R. ChoudhuryM. D. Scadron,1995,http://link.springer.com/article/10.1007/BF02787056,Article
Gauss decomposition of connection matrices for symmetricA-type Jackson integrals,Selecta Mathematica,,1,4,10.1007/BF01587906,K. AomotoY. Kato,1995,http://link.springer.com/article/10.1007/BF01587906,Article
A review of computer-aided Simultaneous Engineering systems,Research in Engineering Design,,7,1,10.1007/BF01681911,Dr Arturo MolinaAhmed H. Al-AshaabTimothy I. A. EllisRobert I. M. YoungRobert Bell,1995,http://link.springer.com/article/10.1007/BF01681911,Article
Method of calculating an irrigation system with a different arrangement of the laterals,Hydrotechnical Construction,,29,4,10.1007/BF01545803,N. E. Markova,1995,http://link.springer.com/article/10.1007/BF01545803,Article
Measurement methods for product evaluation,Research in Engineering Design,,7,2,10.1007/BF01606904,Kevin N. Otto,1995,http://link.springer.com/article/10.1007/BF01606904,Article
Electronegativity and hardness profiles of a chemical process: Comparison between quantum fluid density functional theory andab initio SCF method,Pramana,,45,1,10.1007/BF02848099,S NathP K Chattaraj,1995,http://link.springer.com/article/10.1007/BF02848099,Article
Differential pressure-jump method for routine measurement of sorption kinetics,Adsorption,,1,3,10.1007/BF00704228,V. LerchR. HaulD. Hesse,1995,http://link.springer.com/article/10.1007/BF00704228,Article
QFD: The problem of comparing technical/engineering design requirements,Research in Engineering Design,,7,4,10.1007/BF01580463,F. FranceschiniS. Rossetto,1995,http://link.springer.com/article/10.1007/BF01580463,Article
Typical dimension of the graph of certain functions,Monatshefte für Mathematik,,119,4,10.1007/BF01293590,Jörg SchmelingReinhard Winkler,1995,http://link.springer.com/article/10.1007/BF01293590,Article
Quasidistributed fiber-optic interferometric pickups,Measurement Techniques,,37,1,10.1007/BF01418903,Yu. N. Kul'chinO. B. VitrikO. V. KirichenkoYu. S. Petrov,1994,http://link.springer.com/article/10.1007/BF01418903,Article
Molecular and genetic characterization of the rhizopine catabolism (mocABRC) genes of Rhizobium meliloti L5-30,Molecular and General Genetics MGG,,245,1,10.1007/BF00279746,Silvia RossbachDeanna A. KulpaUwe RossbachFrans J. de Bruijn,1994,http://link.springer.com/article/10.1007/BF00279746,Article
A form verification system for the conceptual design of complex mechanical systems,Engineering with Computers,,10,1,10.1007/BF01206538,Professor Jonathan S. ColtonMark P. Ouellette,1994,http://link.springer.com/article/10.1007/BF01206538,Article
Stretching the paradigm for software reliability assurance,Software Quality Journal,,3,1,10.1007/BF00426945,W. W. EverettM. Tortorella,1994,http://link.springer.com/article/10.1007/BF00426945,Article
The evolutionary origin of the 35 kb circular DNA of Plasmodium falciparum: new evidence supports a possible rhodophyte ancestry,Molecular and General Genetics MGG,,243,2,10.1007/BF00280323,Donald H. WilliamsonMalcolm J. GardnerPeter PreiserDaphne J. MooreKaveri RangachariRobert J. M. Wilson,1994,http://link.springer.com/article/10.1007/BF00280323,Article
Product development benchmarking versus customer focus in applications of quality function deployment,Marketing Letters,,5,2,10.1007/BF00994101,John E. EttlieMichael D. Johnson,1994,http://link.springer.com/article/10.1007/BF00994101,Article
A dynamical study of the principle of maximum hardness,Proceedings of the Indian Academy of Sciences - Chemical Sciences,,106,2,10.1007/BF02840746,P. K. ChattarajS. Nath,1994,http://link.springer.com/article/10.1007/BF02840746,Article
Routine design with information content and fuzzy quality function deployment,Journal of Intelligent Manufacturing,,5,4,10.1007/BF00123693,Ali Bahrami,1994,http://link.springer.com/article/10.1007/BF00123693,Article
Mid-season gas exchange of an alpine grassland under elevated CO2,Oecologia,,98,03-abr,10.1007/BF00324233,Matthias W. Diemer,1994,http://link.springer.com/article/10.1007/BF00324233,Article
Residues in chaperonin GroEL required for polypeptide binding and release,Nature,,371,6498,10.1038/371614a0,Wayne A. FentonYechezkel KashiKrystyna FurtakArthur L. Norwich,1994,http://link.springer.com/article/10.1038/371614a0,Article
"Foliar symptoms, ethylene biosynthesis and water use of young Norway spruce (Picea abies (L.) Karst.) exposed to drought and ozone","Water, Air, and Soil Pollution",,78,01-feb,10.1007/BF00475674,R. Van Den DriesscheC. Langebartels,1994,http://link.springer.com/article/10.1007/BF00475674,Article
"Software quality deployment approach: framework design, methodology and example",Software Quality Journal,,3,4,10.1007/BF00403558,Akira Ohmori,1994,http://link.springer.com/article/10.1007/BF00403558,Article
Molecular genetics and evolutionary relationship of PCB-degrading bacteria,Biodegradation,,5,03-abr,10.1007/BF00696466,Kensuke Furukawa,1994,http://link.springer.com/article/10.1007/BF00696466,Article
Eisenstein series and cohomology of arithmetic groups: The generic case,Inventiones mathematicae,,116,1,10.1007/BF01231570,Joachim Schwermer,1994,http://link.springer.com/article/10.1007/BF01231570,Article
Theory and Practice in the Prediction of New Materials,MRS Bulletin,,18,2,10.1557/S088376940004361X,K. M. Rabe,1993,http://link.springer.com/article/10.1557/S088376940004361X,Article
Book reviews,Research in Engineering Design,,5,1,10.1007/BF01608398,Bernd B. SchierbeekPieter W. M. van Wierst,1993,http://link.springer.com/article/10.1007/BF01608398,Article
